N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
10,19,9,28,6626.8567,129.1,9.220872584116892,0.32931687800417475,-1.0,0.3571428571428571,185.5519876,188.40652608228274,-2.8545384822827486,0.5,-0.19899979999999573,,1.413495399999988,
8,18,10,28,7388.3463,135.3,9.220872584116892,0.32931687800417475,1.0,0.2857142857142857,206.87369640000003,208.1857948008298,-1.3120984008297683,1.0,3.8224887000000365,21.122709000000043,5.3240104000000485,
6,17,11,28,7799.2644,11.0,9.220872584116892,0.32931687800417475,-1.0,0.2142857142857143,218.3794032,217.82414724339128,0.5552559566087325,1.5,3.541842300000013,15.328195500000021,10.270169400000015,34.24091100000001
4,16,12,28,8272.4531,0.2,9.220872584116892,0.32931687800417475,1.0,0.1428571428571429,231.62868680000003,230.58380349819473,1.0448833018052994,2.0,8.504669300000018,16.791125900000026,14.948038200000013,30.079000800000046
2,15,13,28,8309.8969,0.0,9.220872584116892,0.32931687800417475,-1.0,0.0714285714285714,232.67711319999998,231.50861746879272,1.1684957312072584,2.5,7.725174100000004,9.553095699999972,20.78321539999996,24.56787939999998
0,14,14,28,8447.7445,0.0,9.220872584116892,0.32931687800417475,1.0,0.0,236.53684600000003,234.94384770399694,1.5929982960030884,3.0,17.17961200000002,11.58490690000005,30.49443020000001,19.856197400000013
-2,13,15,28,7907.4842,1.2,9.220872584116892,0.32931687800417475,-1.0,-0.0714285714285714,221.4095576,219.83743828174048,1.5721193182595243,2.5,14.560143799999992,2.052323599999994,,9.51565979999998
7,18,11,29,7682.1522,7.8,9.43913067739236,0.32548726473766765,0.0,0.24137931034482762,222.7824138,223.56037317373628,-0.7779593737362802,1.2,4.403010599999988,15.908717399999972,7.944852900000001,37.031426400000015
5,17,12,29,8113.5317,0.3,9.43913067739236,0.32548726473766765,0.0,0.1724137931034483,235.29241929999998,234.6608514738281,0.6315678261718745,1.7142857142857142,3.663732499999952,16.913016099999965,12.16840179999997,32.241211599999986
3,16,13,29,8348.4647,0.3,9.43913067739236,0.32548726473766765,0.0,0.10344827586206895,242.10547630000002,241.06393033781023,1.0415459621897867,2.2222222222222223,9.428363100000041,10.476789499999995,17.153537200000045,27.26791540000002
1,15,14,29,8448.6361,0.0,9.43913067739236,0.32548726473766765,0.0,0.03448275862068961,245.01044689999998,243.36902119456278,1.6414257054372001,2.727272727272727,8.473600899999951,12.333333699999997,25.65321289999997,21.88642939999997
-1,14,15,29,8251.2368,0.3,9.43913067739236,0.32548726473766765,0.0,-0.034482758620689724,239.2858672,237.37750868770007,1.908358512299941,2.727272727272727,17.876309600000013,2.749021199999987,32.436453400000005,14.333928100000037
-3,13,16,29,7746.3826,14.0,9.43913067739236,0.32548726473766765,0.0,-0.10344827586206895,224.6450954,223.08859105921647,1.5565043407835333,2.2222222222222223,,3.235537800000003,,5.287861399999997
8,19,11,30,7501.9685,5.0,9.654893846056297,0.3218297948685433,-1.0,0.2666666666666667,225.059055,226.51916776504552,-1.4601127650455226,0.75,2.2766412000000003,,6.679651799999988,39.50706740000001
6,18,12,30,8054.425,1.3,9.654893846056297,0.3218297948685433,1.0,0.19999999999999996,241.63275,241.8218393399902,-0.18908933999020405,1.3333333333333333,6.34033070000001,18.850336199999987,10.004063199999962,34.75905359999996
4,17,13,30,8261.1049,2.0,9.654893846056297,0.3218297948685433,-1.0,0.1333333333333333,247.833147,246.37461875003635,1.4585282499636492,1.875,5.727670699999976,12.54072770000002,15.156033800000017,29.453743799999984
2,16,14,30,8520.6549,0.0,9.654893846056297,0.3218297948685433,1.0,0.06666666666666665,255.619647,254.4002478294026,1.2193991705973986,2.4,10.60920010000001,13.514170699999966,19.08280099999996,23.99096019999996
0,15,15,30,8353.5064,0.0,9.654893846056297,0.3218297948685433,-1.0,0.0,250.60519200000002,248.76049191047923,1.844700089520785,2.5,11.319324800000004,5.59474510000004,29.195634400000017,17.928078800000037
-2,14,16,30,8122.7081,0.2,9.654893846056297,0.3218297948685433,1.0,-0.06666666666666665,243.681243,242.10854197288685,1.5727010271131405,2.4,19.036147599999993,4.395375799999982,,7.1443969999999695
-4,13,17,30,7472.1698,25.6,9.654893846056297,0.3218297948685433,-1.0,-0.1333333333333333,224.16509399999998,221.78970517013894,2.3753888298610377,1.875,,-0.48000140000002034,,2.7555363999999827
9,20,11,31,7398.6778,15.0,9.868272403218972,0.31833136784577337,0.0,0.29032258064516125,229.35901180000002,231.04651832119114,-1.6875065211911249,0.0,4.299956800000018,,6.576598000000018,
